Date,BAJAJ-AUTO.NS,BAJAJFINSV.NS,INFRATEL.NS,HEROMOTOCO.NS,HINDUNILVR.NS,ITC.NS,IOC.NS,INFY.NS,MARUTI.NS,Portfolio Value
2017-08-02,28029.00,50023.50,3978.50,38026.00,11687.50,2854.50,1850.50,9933.50,77955.00,224338.0
2017-08-03,28342.50,51150.50,4039.50,38383.50,11699.00,2814.00,1935.20,9840.00,77374.00,225578.2
2017-08-04,28746.50,53081.50,4065.50,39565.50,11921.00,2807.50,2094.80,9837.50,77703.00,229822.8
2017-08-07,28892.50,54330.50,3978.50,39527.00,11863.00,2798.50,2156.00,9682.50,78386.50,231615.0
2017-08-08,29116.00,53361.00,3836.00,39134.00,11910.00,2741.50,2066.30,9638.50,77559.00,229362.3
2017-08-09,28311.50,51219.00,3817.00,38837.50,11853.50,2728.50,2070.20,9693.50,76616.00,225146.7
2017-08-10,27962.00,50247.50,3824.50,38895.50,11707.00,2731.00,2051.50,9812.50,75787.50,223019.0
2017-08-11,27882.00,49920.00,3823.00,38409.00,11528.00,2715.00,2059.00,9877.00,74574.00,220787.0
2017-08-14,28316.00,52220.50,3798.50,39570.50,11557.00,2712.50,2097.30,9814.50,76084.50,226171.3
2017-08-16,28492.00,53568.00,3829.00,40221.00,11863.50,2792.00,2111.50,9752.00,77011.50,229640.5
2017-08-17,28258.50,53044.50,3793.50,39978.50,11773.00,2800.00,2131.50,10208.50,75824.50,227812.5
2017-08-18,28113.50,53095.00,3953.00,39867.00,12022.00,2818.50,2136.80,9232.50,75988.00,227226.3
2017-08-21,27665.00,52168.50,3866.00,39720.50,11914.50,2816.00,2066.00,8734.00,75019.00,223969.5
2017-08-22,27405.50,52346.00,3878.50,38880.50,11996.00,2829.00,2116.00,8754.00,74961.00,223166.5
2017-08-23,27546.50,53513.00,3828.00,38889.00,11881.50,2825.50,2134.30,8928.00,75730.50,225276.3
2017-08-24,27285.50,55062.50,3839.00,38826.50,11797.00,2814.50,2141.00,9121.50,76128.50,227016.0
2017-08-28,27420.50,55780.00,3867.00,39592.00,11997.00,2824.50,2203.50,9410.00,75790.00,228884.5
2017-08-29,27266.00,54429.50,3803.00,39457.00,11904.50,2802.50,2172.50,9274.50,75215.00,226324.5
2017-08-30,27505.50,54896.50,3847.50,39881.00,12043.00,2820.00,2264.30,9266.50,75574.50,228098.8
2017-08-31,28145.00,55028.50,3752.00,39951.00,12197.50,2822.50,2273.50,9149.50,77003.00,230322.5
2017-09-01,29163.50,54953.00,3797.00,40489.50,12161.50,2836.00,2241.50,9199.50,78123.00,232964.5
2017-09-04,29151.50,53772.50,3777.50,39789.00,11971.50,2831.00,2145.20,9002.00,78215.00,230655.2
2017-09-05,29507.00,53959.00,3718.50,39704.50,12052.00,2828.50,2159.30,9019.00,78172.00,231119.8
2017-09-06,29205.50,54561.50,3714.50,39506.50,12064.00,2757.00,2141.30,8956.00,78466.50,231372.8
2017-09-07,29654.50,56238.00,3701.50,39829.00,12087.50,2704.00,2161.00,8957.50,79192.00,234525.0
2017-09-08,29154.50,55947.50,3706.50,39560.50,12075.50,2723.50,2145.70,8843.00,79707.50,233864.2
2017-09-11,29296.00,57333.00,3695.00,39445.00,12199.00,2736.00,2145.20,8787.00,81424.00,237060.2
2017-09-12,29357.50,56789.00,3701.00,39189.00,12498.00,2776.50,2174.50,8840.50,81545.00,236871.0
2017-09-13,29349.50,57233.50,3706.50,38935.50,12509.50,2715.00,2079.80,8837.50,81226.00,236592.8
2017-09-14,29283.50,56806.00,3700.50,38912.50,12478.50,2720.00,2098.50,8924.00,80702.50,235626.0
2017-09-15,30256.00,56745.50,3740.00,38880.00,12460.00,2693.00,2078.20,9082.50,80997.50,236932.7
2017-09-18,31374.00,56264.50,3891.00,39499.00,12800.50,2670.00,2078.20,9091.00,81578.50,239246.7
2017-09-19,31154.50,56512.50,3983.00,39442.50,12793.00,2678.50,2091.50,9122.50,81317.00,239095.0
2017-09-20,30905.50,56029.00,3939.50,38560.50,12593.50,2715.50,2069.80,9127.00,81201.50,237141.8
2017-09-21,30788.50,54863.00,3876.50,38964.00,12567.00,2695.50,2066.30,9095.50,81449.50,236365.8
2017-09-22,30424.50,52316.50,3900.00,37911.50,12392.00,2684.50,2042.00,8983.00,80682.00,231336.0
2017-09-25,30441.00,51106.00,3913.50,37559.50,12471.50,2622.50,1995.00,8953.50,79649.50,228712.0
2017-09-26,30449.00,51705.00,3764.00,37877.50,12173.50,2624.50,1998.20,9059.00,78899.00,228549.7
2017-09-27,30312.50,50713.50,3826.50,37274.00,12059.00,2585.00,1978.20,8998.00,77399.50,225146.2
2017-09-28,30394.50,50437.50,3926.00,37400.50,12028.00,2615.50,1987.00,8960.00,78973.50,226722.5
2017-09-29,31094.00,51544.50,3984.00,37745.50,11739.00,2583.00,2002.50,8999.00,79782.00,229473.5
2017-10-03,31622.00,53254.50,4085.00,38062.50,11863.50,2614.00,2032.70,9035.50,78883.00,231452.7
2017-10-04,31735.00,52745.00,4165.00,37949.00,11975.00,2674.00,2043.80,8996.00,78472.00,230754.8
2017-10-05,31308.00,52587.00,4046.50,37554.50,11876.50,2652.50,2033.80,9030.50,78310.50,229399.8
2017-10-06,31415.50,52979.50,3999.50,37039.50,12073.00,2661.50,2077.30,9201.50,79032.00,230479.3
2017-10-09,31254.50,53058.00,3985.00,36764.00,12202.50,2680.00,2070.70,9239.00,78967.00,230220.7
2017-10-10,31347.00,53336.50,3998.50,36952.50,12092.00,2662.00,2054.30,9354.50,78937.00,230734.3
2017-10-11,31439.00,53012.00,4105.00,36895.50,12180.50,2654.00,2090.50,9307.00,78251.50,229935.0
2017-10-12,31559.00,53921.50,4320.00,37510.00,12410.00,2670.00,2074.50,9273.00,79042.50,232780.5
2017-10-13,31608.50,53752.50,4499.50,37638.50,12486.00,2659.50,2073.00,9301.00,78741.50,232760.0
2017-10-16,32248.00,53543.00,4715.00,37766.50,12813.00,2675.00,2067.70,9390.00,78420.00,233638.2
2017-10-17,32599.50,53567.50,4792.00,37890.50,12821.50,2672.50,2069.50,9305.00,78389.00,234107.0
2017-10-18,32268.00,53150.50,4617.50,37530.00,12639.50,2703.50,2058.00,9243.50,77840.50,232051.0
2017-10-19,32179.50,53061.00,4602.50,37356.00,12577.00,2696.50,2048.20,9269.50,77311.00,231101.2
2017-10-23,32176.50,52873.00,4490.00,37912.50,12499.50,2670.50,2022.30,9395.00,78185.00,232224.3
2017-10-24,32100.50,52528.00,4533.00,37554.00,12700.50,2670.00,2038.50,9265.00,78750.00,232139.5
2017-10-25,32322.50,49970.00,4521.50,37696.50,12724.50,2692.50,2086.30,9353.00,78702.00,230068.8
2017-10-26,32834.00,49820.00,4554.00,37508.50,12737.00,2684.00,2182.50,9473.50,80680.50,232474.0
2017-10-27,33001.50,50339.50,4185.50,37866.50,12601.50,2693.50,2074.80,9463.50,81144.50,233370.8
2017-10-30,32822.00,49948.50,4297.00,38330.00,12342.00,2651.50,2081.30,9441.00,81952.50,233865.8
2017-10-31,32571.00,50103.50,4421.50,38499.00,12374.50,2657.00,2077.50,9218.50,82112.50,234035.0
2017-11-01,32397.50,50226.00,4265.50,38193.50,12580.00,2698.50,2084.00,9270.50,82384.00,234099.5
2017-11-02,32411.00,49821.50,4186.50,37358.50,12415.00,2656.50,2074.80,9229.00,82258.00,232410.8
2017-11-03,32174.50,50326.00,4137.50,36890.50,12395.00,2654.00,2066.30,9266.50,82194.00,232104.3
2017-11-06,32098.50,50096.00,4240.50,36888.50,12406.00,2649.00,2053.20,9287.00,83102.00,232820.7
2017-11-07,31616.50,49810.00,4270.50,36815.00,12342.00,2653.00,2001.00,9555.00,82203.00,231266.0
2017-11-08,31890.50,50227.00,4351.50,36225.50,12353.00,2654.00,1985.00,9523.00,82320.00,231529.5
2017-11-09,32000.00,50067.50,4292.00,35977.50,12529.00,2600.50,1973.00,9545.00,82048.00,231032.5
2017-11-10,32533.50,50274.50,4267.50,36051.00,12906.50,2617.00,1974.30,9620.50,81835.00,232079.8
2017-11-13,32230.00,49983.50,4155.00,35799.00,12795.00,2583.00,1984.30,9519.50,81092.00,230141.3
2017-11-14,32665.50,50144.00,3969.50,36552.00,12839.00,2565.50,1934.80,9491.00,81229.50,231390.8
2017-11-15,32129.50,49026.50,3776.50,36718.00,12650.00,2533.00,1947.50,9518.00,81272.50,229571.5
2017-11-16,32088.50,49847.50,3846.50,36570.00,12765.00,2551.00,1965.00,9884.00,81637.00,231154.5
2017-11-17,32068.50,51297.50,3801.50,36311.50,12781.50,2580.00,1975.70,9709.50,83483.50,234009.2
2017-11-20,32420.00,51735.50,3837.00,36586.00,12745.00,2592.00,1964.80,9605.50,84256.50,235742.3
2017-11-21,33002.50,52062.00,3835.50,36787.50,12773.50,2558.00,1980.70,9662.50,84248.00,236910.2
2017-11-22,33132.00,51763.50,3764.50,36613.00,12704.50,2581.50,1980.00,9663.00,85131.50,237333.5
2017-11-23,32646.50,51336.00,3746.00,36773.50,12675.00,2581.50,1973.80,9912.50,84634.00,236278.8
2017-11-24,32883.00,51606.00,3808.00,36532.50,12659.50,2607.50,1977.00,10095.50,84879.50,237048.5
2017-11-27,32714.00,51518.50,3866.00,36630.00,12603.00,2592.50,1963.00,9987.50,85086.00,236960.5
2017-11-28,32891.50,52402.00,3778.50,36736.00,12678.50,2570.00,1953.00,9847.00,86241.50,239098.0
2017-11-29,33159.00,53056.00,3841.50,36563.00,12761.50,2580.50,1968.50,9827.00,86713.50,240470.5
2017-11-30,33055.00,52141.00,3837.00,36336.50,12724.50,2560.50,1967.50,9761.00,85991.00,238374.0
2017-12-01,32169.00,50988.50,3859.50,36040.50,12505.00,2552.00,1939.30,9588.00,86090.00,235731.8
2017-12-04,31987.00,50568.00,3765.00,36014.00,12686.00,2551.00,1952.70,9853.50,85008.00,234385.2
2017-12-05,31639.00,50036.50,3785.50,35205.50,12610.00,2538.50,1952.50,9843.50,85004.00,232615.0
2017-12-06,31095.50,49646.50,3703.50,35056.00,12756.00,2516.00,1943.80,9903.00,86124.00,232744.3
2017-12-07,31960.50,50702.00,3823.50,35511.00,12919.50,2533.50,1957.50,9998.00,88824.00,238229.5
