Date,ADANIPORTS.NS,AXISBANK.NS,ASIANPAINT.NS,Portfolio Value
2018-03-19,3643.00,5194.50,11025.50,19863.0
2018-03-20,3700.00,5211.00,11065.00,19976.0
2018-03-21,3637.00,5263.00,11035.50,19935.5
2018-03-22,3582.50,5182.00,11071.00,19835.5
2018-03-23,3624.00,4995.00,11126.50,19745.5
2018-03-26,3651.50,5073.00,11175.50,19900.0
2018-03-27,3655.00,5122.00,11311.00,20088.0
2018-03-28,3541.00,5105.00,11204.00,19850.0
2018-04-02,3697.00,4990.50,11501.50,20189.0
2018-04-03,3664.00,5015.50,11521.00,20200.5
2018-04-04,3678.00,4922.50,11360.00,19960.5
2018-04-05,3759.50,5031.00,11429.00,20219.5
2018-04-06,3793.00,5002.00,11435.00,20230.0
2018-04-09,3773.50,5193.00,11574.50,20541.0
2018-04-10,3872.50,5461.50,11567.50,20901.5
2018-04-11,3779.00,5398.00,11558.50,20735.5
2018-04-12,3723.50,5487.50,11652.00,20863.0
2018-04-13,3831.00,5425.50,11622.00,20878.5
2018-04-16,3875.00,5424.00,11788.50,21087.5
2018-04-17,3834.00,5324.00,11760.00,20918.0
2018-04-18,3849.50,5182.50,11723.00,20755.0
2018-04-19,3865.50,5129.00,11650.00,20644.5
2018-04-20,3811.50,5057.00,11593.50,20462.0
2018-04-23,3863.50,5062.00,11787.00,20712.5
2018-04-24,3922.50,5048.50,11701.00,20672.0
2018-04-25,3919.00,4984.00,11630.50,20533.5
2018-04-26,3971.00,4937.50,11557.00,20465.5
2018-04-27,4024.50,5392.00,11816.00,21232.5
2018-04-30,4073.00,5173.00,12017.00,21263.0
2018-05-02,4011.00,5237.50,12223.00,21471.5
2018-05-03,3970.00,5334.00,12067.50,21371.5
2018-05-04,4082.50,5203.00,11904.50,21190.0
2018-05-07,4124.00,5361.00,12152.50,21637.5
2018-05-08,4128.00,5422.50,12099.00,21649.5
2018-05-09,4133.50,5485.00,12225.50,21844.0
2018-05-10,4108.00,5476.50,12177.00,21761.5
2018-05-11,4127.00,5533.00,12864.50,22524.5
2018-05-14,4099.50,5519.00,12973.50,22592.0
2018-05-15,4091.50,5497.00,13146.50,22735.0
2018-05-16,4031.00,5500.00,13237.00,22768.0
2018-05-17,3979.00,5394.50,13094.50,22468.0
2018-05-18,3895.00,5329.00,13083.50,22307.5
2018-05-21,3837.00,5268.50,13017.00,22122.5
2018-05-22,3797.50,5233.00,12868.50,21899.0
2018-05-23,3742.50,5202.50,12786.00,21731.0
2018-05-24,3712.50,5344.50,12936.00,21993.0
2018-05-25,3799.00,5385.00,12923.50,22107.5
2018-05-28,3789.00,5461.50,13218.50,22469.0
2018-05-29,3778.50,5477.50,12995.00,22251.0
2018-05-30,3744.00,5416.50,12938.50,22099.0
