Date,BPCL.NS,IBULHSGFIN.NS,IOC.NS,M&M.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,HINDPETRO.NS,TATASTEEL.NS,Portfolio Value
2017-10-12,4916.00,12724.50,2074.50,6690.80,1767.00,1697.00,2023.00,4563.00,6589.10,43044.9
2017-10-13,4887.00,12827.00,2073.00,6626.50,1758.50,1696.50,2056.50,4596.00,6772.50,43293.5
2017-10-16,4984.00,12951.00,2067.70,6843.00,1754.50,1720.50,2057.50,4604.50,6811.60,43794.299999999996
2017-10-17,5127.50,13257.00,2069.50,6866.70,1759.00,1712.00,2049.00,4708.00,6788.30,44337.0
2017-10-18,5136.00,13584.00,2058.00,6852.80,1780.50,1744.50,2135.50,4633.00,6760.60,44684.9
2017-10-19,5081.50,13607.00,2048.20,6878.80,1750.50,1720.50,2106.50,4603.50,6721.60,44518.1
2017-10-23,5113.00,13377.50,2022.30,6835.30,1769.50,1717.00,2135.50,4591.00,6783.50,44344.6
2017-10-24,5096.50,13425.50,2038.50,6753.30,1816.50,1760.00,2150.50,4660.00,6853.00,44553.8
2017-10-25,5098.00,12767.00,2086.30,6823.50,1833.50,1768.50,2161.00,4625.00,6836.80,43999.600000000006
2017-10-26,5364.50,12482.50,2182.50,6864.70,1846.50,1773.50,2120.00,4812.00,6947.40,44393.6
2017-10-27,5279.50,12643.00,2074.80,6938.50,1819.50,1840.00,2117.50,4560.50,6924.50,44197.8
2017-10-30,5362.50,12611.00,2081.30,6873.80,1826.00,1866.00,2124.00,4548.00,6843.00,44135.6
2017-10-31,5416.00,12440.50,2077.50,6724.00,1812.50,1911.00,2118.50,4471.50,6705.40,43676.9
2017-11-01,5398.00,12455.00,2084.00,6753.80,1807.50,1910.00,2103.50,4433.00,6738.70,43683.5
2017-11-02,5428.50,12296.50,2074.80,6676.70,1802.50,1880.00,2152.00,4453.50,6727.30,43491.8
2017-11-03,5331.00,12190.50,2066.30,6653.80,1819.50,1918.50,2100.50,4456.50,6754.00,43290.6
2017-11-06,5242.00,12269.50,2053.20,6830.80,1792.50,1992.50,2107.00,4340.50,6733.90,43361.9
2017-11-07,5214.00,11952.00,2001.00,6768.80,1784.00,1938.00,2076.50,4447.00,6604.40,42785.700000000004
2017-11-08,5202.00,11957.00,1985.00,6835.00,1763.50,1925.50,2081.50,4347.50,6603.90,42700.9
2017-11-09,5221.50,12350.00,1973.00,6806.50,1780.50,1896.00,2080.00,4315.50,6701.60,43124.6
2017-11-10,5121.00,12250.50,1974.30,6964.70,1765.50,1911.00,2113.50,4168.50,6690.60,42959.6
2017-11-13,5006.00,11964.00,1984.30,7056.00,1769.50,1842.00,2110.00,4201.00,6583.90,42516.700000000004
2017-11-14,4930.50,11930.00,1934.80,7148.00,1770.50,1820.00,2069.50,4112.00,6531.00,42246.3
2017-11-15,5047.00,11612.50,1947.50,7076.30,1742.00,1775.50,2070.00,4138.00,6457.20,41866.0
2017-11-16,4993.50,11764.00,1965.00,7069.70,1764.50,1791.50,2083.00,4125.00,6539.10,42095.299999999996
2017-11-17,5040.00,11840.00,1975.70,7083.80,1775.50,1776.00,2086.00,4148.00,6680.60,42405.6
2017-11-20,5044.50,11995.00,1964.80,7040.00,1804.50,1800.00,2088.00,4155.50,6689.60,42581.9
2017-11-21,5115.00,11780.00,1980.70,7080.00,1829.50,1809.00,2066.00,4187.00,6777.30,42624.5
2017-11-22,5077.00,11786.00,1980.00,7147.50,1818.50,1813.00,2070.50,4195.00,6774.40,42661.9
2017-11-23,5051.50,11596.50,1973.80,7093.30,1804.00,1817.00,2090.50,4249.50,6790.20,42466.299999999996
2017-11-24,5110.00,11716.50,1977.00,7170.50,1803.00,1810.00,2112.00,4303.00,6749.70,42751.7
2017-11-27,5084.50,11812.00,1963.00,7155.00,1863.50,1840.50,2101.50,4237.00,6693.40,42750.4
2017-11-28,5076.00,12000.50,1953.00,7175.00,1828.00,1812.50,2083.50,4176.50,6705.80,42810.8
2017-11-29,5078.00,12008.00,1968.50,7167.00,1820.00,1824.50,2087.50,4163.50,6757.80,42874.8
2017-11-30,5038.50,12058.50,1967.50,7032.80,1811.50,1806.50,2060.50,4167.00,6613.40,42556.200000000004
2017-12-01,4964.00,11447.50,1939.30,7047.00,1813.00,1796.50,2029.50,4095.50,6487.20,41619.5
2017-12-04,4962.00,11754.50,1952.70,7005.00,1802.00,1816.00,2027.50,4124.00,6552.90,41996.6
2017-12-05,5009.00,11891.50,1952.50,6941.00,1771.00,1784.00,2003.00,4120.00,6437.60,41909.6
