Date,ADANIPORTS.NS,AXISBANK.NS,ASIANPAINT.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,Portfolio Value
2017-10-19,4014.00,4603.00,11785.00,32179.50,18459.00,71040.5
2017-10-23,4070.50,4499.50,11741.50,32176.50,18337.50,70825.5
2017-10-24,4062.00,4519.50,12229.00,32100.50,18260.50,71171.5
2017-10-25,4154.50,4730.00,12017.00,32322.50,17263.50,70487.5
2017-10-26,4143.00,4843.00,11911.50,32834.00,17467.50,71199.0
2017-10-27,4320.50,4859.50,11845.50,33001.50,18190.00,72217.0
2017-10-30,4298.00,4840.00,11825.50,32822.00,18043.00,71828.5
2017-10-31,4303.50,5231.50,11808.50,32571.00,18006.00,71920.5
2017-11-01,4331.00,5351.00,11759.50,32397.50,18067.50,71906.5
2017-11-02,4372.50,5321.50,11784.00,32411.00,18102.00,71991.0
2017-11-03,4348.50,5401.00,11724.50,32174.50,18369.50,72018.0
2017-11-06,4375.50,5345.00,11623.50,32098.50,18220.00,71662.5
2017-11-07,4315.50,5271.50,11414.50,31616.50,18025.50,70643.5
2017-11-08,4297.00,5448.50,11722.00,31890.50,17757.00,71115.0
2017-11-09,4334.00,5404.00,11956.00,32000.00,17530.00,71224.0
2017-11-10,4320.50,5448.00,11786.00,32533.50,17450.00,71538.0
2017-11-13,4133.50,5373.50,11749.50,32230.00,17287.50,70774.0
2017-11-14,4107.50,5456.50,11550.50,32665.50,17549.00,71329.0
2017-11-15,4071.00,5420.00,11815.50,32129.50,17138.00,70574.0
2017-11-16,3972.00,5426.00,11795.50,32088.50,17642.50,70924.5
2017-11-17,4009.50,5424.00,11713.00,32068.50,17873.50,71088.5
2017-11-20,3986.00,5451.50,11663.50,32420.00,18052.50,71573.5
2017-11-21,4008.00,5468.00,11603.00,33002.50,18097.50,72179.0
2017-11-22,4145.00,5405.00,11743.00,33132.00,17739.50,72164.5
2017-11-23,4071.00,5441.50,11596.00,32646.50,17636.50,71391.5
2017-11-24,4046.00,5455.00,11596.00,32883.00,17900.00,71880.0
2017-11-27,3995.00,5594.00,11565.00,32714.00,17732.50,71600.5
2017-11-28,3969.50,5625.50,11710.00,32891.50,17664.00,71860.5
2017-11-29,4034.50,5495.00,11538.50,33159.00,17563.00,71790.0
2017-11-30,3980.00,5354.00,11467.50,33055.00,17270.50,71127.0
2017-12-01,3867.50,5338.50,11337.50,32169.00,17116.00,69828.5
2017-12-04,3881.50,5349.50,11210.00,31987.00,16759.50,69187.5
2017-12-05,3888.50,5331.50,11150.00,31639.00,17074.00,69083.0
2017-12-06,3857.50,5305.00,11043.50,31095.50,16714.50,68016.0
2017-12-07,3897.00,5340.50,11444.00,31960.50,16763.00,69405.0
2017-12-08,3934.00,5425.00,11355.00,32126.50,17022.50,69863.0
2017-12-11,3917.50,5451.00,11258.50,32108.50,17078.00,69813.5
2017-12-12,4025.00,5386.00,11174.00,31657.00,16992.50,69234.5
2017-12-13,3940.00,5357.50,11165.50,31513.00,16718.00,68694.0
2017-12-14,3951.00,5414.50,11234.50,31628.00,16858.50,69086.5
2017-12-15,4013.50,5479.50,11187.00,31988.00,17296.00,69964.0
2017-12-18,4046.00,5486.50,11371.50,32267.50,17568.50,70740.0
2017-12-19,4058.00,5536.50,11377.00,33198.00,17577.50,71747.0
2017-12-20,4044.00,5545.00,11355.00,33012.00,17704.00,71660.0
2017-12-21,4023.00,5489.50,11379.00,32894.50,17480.50,71266.5
2017-12-22,4021.50,5536.00,11380.00,33289.50,17824.50,72051.5
2017-12-26,4045.50,5550.00,11507.50,33690.00,17895.00,72688.0
2017-12-27,4042.00,5546.00,11490.50,33390.50,17709.50,72178.5
2017-12-28,3987.00,5468.50,11444.00,32951.50,17551.50,71402.5
2017-12-29,4056.50,5639.50,11585.00,33336.00,17567.00,72184.0
2018-01-01,3996.50,5655.00,11436.50,32892.50,17256.50,71237.0
2018-01-02,3974.00,5595.00,11427.50,32947.50,17246.50,71190.5
2018-01-03,4076.50,5604.50,11419.00,32410.50,17153.00,70663.5
2018-01-04,4098.50,5599.00,11720.50,32644.50,17540.00,71602.5
2018-01-05,4238.00,5632.50,11852.50,32798.50,18145.00,72666.5
2018-01-08,4229.00,5654.50,11820.00,32757.50,18368.50,72829.5
2018-01-09,4211.00,5653.00,11930.50,32435.00,18195.00,72424.5
2018-01-10,4234.50,5628.00,11774.00,32074.00,18022.00,71732.5
2018-01-11,4255.00,5587.50,11889.50,31934.00,17803.50,71469.5
2018-01-12,4233.00,5551.00,11897.00,31753.50,17701.00,71135.5
2018-01-15,4206.00,5605.50,12040.50,31660.00,17381.50,70893.5
2018-01-16,4235.50,5632.00,11887.50,31600.50,16873.50,70229.0
2018-01-17,4334.00,5852.00,11937.50,31941.50,17012.00,71077.0
2018-01-18,4162.50,5848.00,11882.50,32012.00,16607.00,70512.0
2018-01-19,4334.50,5902.50,11899.00,32104.00,17019.00,71259.0
2018-01-22,4380.50,6115.50,11760.00,32745.00,17063.50,72064.5
2018-01-23,4384.00,6201.00,11699.00,32959.50,17087.00,72330.5
2018-01-24,4487.50,6079.50,11510.50,33415.50,17391.50,72884.5
2018-01-25,4365.00,6161.00,11504.50,33117.00,17103.00,72250.5
2018-01-29,4366.50,6055.50,11520.50,33639.00,17153.00,72734.5
2018-01-30,4282.50,5937.50,11267.00,33583.00,16784.00,71854.0
2018-01-31,4288.50,5936.00,11283.00,33371.50,16778.50,71657.5
2018-02-01,4287.50,5928.00,11530.00,34129.50,17294.50,73169.5
2018-02-02,4179.50,5649.00,11379.00,32413.00,16289.00,69909.5
2018-02-05,4082.00,5662.50,11341.00,31855.50,16049.50,68990.5
2018-02-06,4048.00,5637.00,11102.50,31351.00,16621.50,68760.0
2018-02-07,4070.00,5593.50,11211.00,31355.50,16416.50,68646.5
2018-02-08,4051.00,5684.50,11240.50,31579.50,16621.50,69177.0
2018-02-09,3990.00,5575.50,11307.50,30992.50,16394.00,68259.5
2018-02-12,4033.50,5642.00,11444.00,31541.00,16438.00,69098.5
2018-02-14,4130.00,5439.00,11391.50,31097.50,16699.50,68757.5
2018-02-15,4117.00,5437.00,11354.50,31435.00,16770.50,69114.0
2018-02-16,4054.50,5378.50,11438.50,31039.00,16752.50,68663.0
2018-02-19,3938.50,5405.50,11203.50,30306.00,16427.00,67280.5
2018-02-20,3949.00,5317.00,11264.00,30498.50,16387.50,67416.0
2018-02-21,3956.00,5358.00,11272.00,30126.00,15964.50,66676.5
2018-02-22,4040.00,5302.50,11181.00,29743.00,16003.50,66270.0
2018-02-23,4065.00,5366.50,11018.00,29864.00,16334.00,66647.5
2018-02-26,4150.50,5523.00,11048.00,30087.00,16749.50,67558.0
