Date,HINDUNILVR.NS,Portfolio Value
2018-01-05,13565.50,13565.5
2018-01-08,13684.00,13684.0
2018-01-09,13613.00,13613.0
2018-01-10,13658.00,13658.0
2018-01-11,13786.50,13786.5
2018-01-12,13740.00,13740.0
2018-01-15,13672.00,13672.0
2018-01-16,13820.00,13820.0
2018-01-17,13712.00,13712.0
2018-01-18,13569.50,13569.5
2018-01-19,13624.50,13624.5
2018-01-22,13551.00,13551.0
2018-01-23,13683.50,13683.5
2018-01-24,13659.00,13659.0
2018-01-25,13727.50,13727.5
2018-01-29,13973.00,13973.0
2018-01-30,14002.50,14002.5
2018-01-31,13693.50,13693.5
2018-02-01,13712.50,13712.5
2018-02-02,13722.00,13722.0
2018-02-05,13557.50,13557.5
2018-02-06,13253.50,13253.5
2018-02-07,13126.50,13126.5
2018-02-08,13295.50,13295.5
2018-02-09,13330.50,13330.5
2018-02-12,13444.50,13444.5
2018-02-14,13494.00,13494.0
2018-02-15,13581.50,13581.5
2018-02-16,13521.00,13521.0
2018-02-19,13359.00,13359.0
2018-02-20,13318.00,13318.0
2018-02-21,13306.00,13306.0
2018-02-22,13264.50,13264.5
2018-02-23,13231.50,13231.5
2018-02-26,13333.00,13333.0
2018-02-27,13463.50,13463.5
2018-02-28,13177.50,13177.5
2018-03-01,13242.50,13242.5
2018-03-05,12997.50,12997.5
2018-03-06,12932.00,12932.0
2018-03-07,12938.50,12938.5
2018-03-08,12931.50,12931.5
2018-03-09,13007.50,13007.5
2018-03-12,13242.00,13242.0
2018-03-13,13205.50,13205.5
2018-03-14,13169.00,13169.0
2018-03-15,12999.50,12999.5
2018-03-16,12991.50,12991.5
2018-03-19,13094.00,13094.0
2018-03-20,13132.50,13132.5
2018-03-21,13156.00,13156.0
2018-03-22,13118.50,13118.5
2018-03-23,13016.50,13016.5
2018-03-26,13243.00,13243.0
2018-03-27,13328.00,13328.0
2018-03-28,13333.50,13333.5
2018-04-02,13513.00,13513.0
2018-04-03,13484.00,13484.0
2018-04-04,13574.50,13574.5
2018-04-05,13822.00,13822.0
2018-04-06,13748.00,13748.0
2018-04-09,13916.00,13916.0
2018-04-10,13915.00,13915.0
2018-04-11,14091.50,14091.5
2018-04-12,14127.50,14127.5
2018-04-13,14105.50,14105.5
2018-04-16,14195.00,14195.0
2018-04-17,14455.50,14455.5
2018-04-18,14505.00,14505.0
2018-04-19,14542.00,14542.0
2018-04-20,14678.00,14678.0
2018-04-23,14527.50,14527.5
2018-04-24,14596.50,14596.5
2018-04-25,14592.00,14592.0
2018-04-26,14912.50,14912.5
2018-04-27,14739.50,14739.5
2018-04-30,15089.00,15089.0
2018-05-02,14719.50,14719.5
2018-05-03,14522.00,14522.0
2018-05-04,14642.00,14642.0
2018-05-07,14979.00,14979.0
2018-05-08,14960.50,14960.5
2018-05-09,14960.00,14960.0
2018-05-10,14865.00,14865.0
2018-05-11,15041.00,15041.0
2018-05-14,15035.50,15035.5
2018-05-15,15155.00,15155.0
2018-05-16,15741.00,15741.0
2018-05-17,15698.00,15698.0
2018-05-18,16058.00,16058.0
2018-05-21,15786.50,15786.5
2018-05-22,15743.00,15743.0
2018-05-23,15681.00,15681.0
2018-05-24,15611.00,15611.0
2018-05-25,15757.50,15757.5
2018-05-28,15828.50,15828.5
2018-05-29,15727.00,15727.0
2018-05-30,15858.00,15858.0
2018-05-31,16114.50,16114.5
2018-06-01,15888.50,15888.5
2018-06-04,15632.00,15632.0
2018-06-05,15628.00,15628.0
2018-06-06,15711.50,15711.5
