Date,TATASTEEL.NS,ZEEL.NS,YESBANK.NS,WIPRO.NS,PNB.NS,ULTRACEMCO.NS,TECHM.NS,TCS.NS,ONGC.NS,SAIL.NS,Portfolio Value
2017-08-10,5757.90,5200.50,3460.20,2881.50,1431.50,39076.00,4040.00,25114.50,1637.00,588.50,89187.6
2017-08-11,5685.50,5049.00,3478.80,2897.00,1403.50,39225.50,4028.00,24960.50,1596.50,565.00,88889.3
2017-08-14,5942.70,5172.00,3557.00,2885.00,1432.00,39605.00,4022.00,24694.00,1617.00,580.50,89507.2
2017-08-16,6013.70,5187.00,3523.70,2899.50,1475.50,39413.00,4199.50,24923.50,1609.50,592.50,89837.4
2017-08-17,5958.40,5267.50,3476.20,2883.50,1463.00,39329.00,4244.00,24856.50,1606.00,590.50,89674.6
2017-08-18,5960.80,5116.00,3441.50,2881.00,1421.50,40143.50,4288.50,25138.00,1609.00,597.00,90596.8
2017-08-21,5921.70,5093.00,3433.40,2877.00,1376.00,40079.00,4311.00,25288.00,1571.50,594.50,90545.1
2017-08-22,5903.20,5164.50,3425.80,2902.50,1380.00,39752.50,4393.50,24975.50,1594.50,588.00,90080.0
2017-08-23,6046.10,5149.00,3446.50,2900.00,1426.50,39515.50,4302.00,24894.50,1597.00,607.00,89884.1
2017-08-24,6088.00,5117.00,3438.90,2894.00,1443.00,39396.50,4277.00,24966.00,1594.50,606.50,89821.4
2017-08-28,6058.00,5179.00,3506.70,2907.00,1448.50,39841.50,4277.50,24873.00,1606.00,615.00,90312.2
2017-08-29,6004.10,5182.50,3443.10,2907.50,1410.00,39316.00,4317.50,24708.50,1572.50,610.50,89472.2
2017-08-30,6084.70,5203.50,3504.20,2912.00,1425.00,40130.50,4257.50,24845.50,1584.00,618.00,90564.9
2017-08-31,6078.90,5195.00,3506.10,2991.00,1438.00,40004.00,4281.50,24963.50,1569.50,608.00,90635.5
2017-09-01,6204.20,5236.50,3552.90,2964.50,1444.50,39996.00,4234.00,24564.50,1599.50,626.00,90422.6
2017-09-04,6159.90,5216.00,3528.20,2973.00,1426.50,40004.00,4161.00,24562.00,1618.00,623.00,90271.6
2017-09-05,6212.80,5207.00,3556.50,2972.50,1436.00,40978.50,4278.50,24843.50,1628.00,623.00,91736.3
2017-09-06,6221.40,5200.50,3587.90,2972.00,1390.00,41502.50,4246.00,24532.00,1623.00,620.50,91895.8
2017-09-07,6219.50,5208.50,3600.00,2989.50,1389.50,41163.00,4260.50,24601.00,1623.00,627.00,91681.5
2017-09-08,6244.20,5198.00,3578.00,3005.00,1378.50,41444.50,4308.00,24706.00,1618.50,631.00,92111.7
2017-09-11,6312.80,5203.00,3684.10,3011.50,1381.50,41746.00,4415.00,24544.50,1630.50,630.50,92559.4
2017-09-12,6506.20,5324.50,3701.50,2981.00,1415.00,42202.50,4414.00,24884.50,1623.00,633.00,93685.2
2017-09-13,6475.30,5327.00,3678.00,2959.00,1430.00,41848.50,4408.00,24892.00,1610.50,619.50,93247.8
2017-09-14,6456.70,5293.00,3703.10,2834.50,1452.50,42144.00,4414.00,24869.50,1593.50,620.50,93381.3
2017-09-15,6468.60,5342.00,3690.10,2857.50,1446.50,42109.50,4443.00,25060.50,1667.50,623.50,93708.7
2017-09-18,6411.00,5437.00,3718.30,2893.00,1447.50,42092.00,4451.00,24990.50,1652.00,616.50,93708.8
2017-09-19,6444.30,5451.00,3733.00,2892.50,1439.00,41842.00,4477.50,24982.50,1659.00,624.50,93545.3
2017-09-20,6551.50,5491.00,3760.20,2919.00,1448.00,42096.50,4489.00,24935.50,1677.00,623.00,93990.7
2017-09-21,6546.30,5355.50,3770.50,2919.00,1418.00,41660.50,4602.50,25249.00,1659.00,610.50,93790.8
2017-09-22,6230.90,5217.00,3606.50,2944.50,1377.00,39996.00,4584.00,25036.00,1644.50,579.00,91215.4
